English,zh-Hans,zh-Hant,ja_JP,Notes
"Aacute",,,,
"Aacutesmall",,,,
"Abbey",,,,
"About Cavalry",,,,
"Above-base Forms",,,,
"Above-base Mark Positioning",,,,
"Above-base Substitutions",,,,
"Acadia",,,,
"Acapulco",,,,
"Acce",,,,
"Access All Alternates",,,,
"Account",,,,
"Acircumflex",,,,
"Acircumflexsmall",,,,
"Active",,,,
"Active Camera",,,,
"Active Composition",,,,
"Active Forge Solver",,,,
"Active Tags.",,,,
"Acutesmall",,,,
"Add",,,,
"Add Animation Control",,,,
"Add Array",,,,
"Add Asset",,,,
"Add Asset To Scene",,,,
"Add Background",,,,
"Add Background to Selected",,,,
"Add Behaviour",,,,
"Add Bool",,,,
"Add Camera",,,,
"Add Clip",,,,
"Add Clip to End",,,,
"Add Clip to Start",,,,
"Add Collision Event",,,,
"Add Color",,,,
"Add Color Stop",,,,
"Add Colors from Selection",,,,
"Add Distribution",,,,
"Add Double",,,,
"Add Expression...",,,,
"Add Falloff",,,,
"Add Field",,,,
"Add Header",,,,
"Add IK Control",,,,
"Add Int",,,,
"Add Keyframe",,,,
"Add Layer",,,,
"Add Layers",,,,
"Add Layers Popover",,,,
"Add Layers Popover...",,,,
"Add List Attribute",,,,
"Add Look At",,,,
"Add Mesh",,,,
"Add Null",,,,
"Add Point",,,,
"Add Pre-Comp Override",,,,
"Add Pre-Comp Overrides",,,,
"Add Preset",,,,
"Add SVG to Composition",,,,
"Add SVG to Scene",,,,
"Add SVG to Scene.",,,,
"Add Shader",,,,
"Add Spacer",,,,
"Add String",,,,
"Add Sub Bone",,,,
"Add Tab",,,,
"Add Text",,,,
"Add Text Shape",,,,
"Add Time Marker",,,,
"Add Top Bone",,,,
"Add Utility",,,,
"Add Viewport",,,,
"Add Visibility Bar",,,,
"Add a Placement Utility",,,,
"Add a Rig Control",,,,
"Add a Tag",,,,
"Add a Text Background",,,,
"Add an Animation Control",,,,
"Add an Auto-Animate Deformer",,,,
"Add connections",,,,
"Add new snippet",,,,
"Add or edit Bind positions",,,,
"Add to Composition as Footage",,,,
"Add to Composition as Mesh",,,,
"Add to Control Centre",,,,
"Add to Duplicator",,,,
"Add to GH",,,,
"Add to Group",,,,
"Address",,,,
"Adieresis",,,,
"Adieresissmall",,,,
"Adlam",,,,
"Adobe RGB",,,,
"Advanced",,,,
"Advanced Tracking Settings",,,,
"Aero Blue",,,,
"Affair",,,,
"Agrave",,,,
"Agravesmall",,,,
"Ahom",,,,
"Akaroa",,,,
"Akhand",,,,
"Alabaster",,,,
"Albescent White",,,,
"Algae Green",,,,
"Alice Blue",,,,
"Align",,,,
"Align Behaviour",,,,
"Align Bottom",,,,
"Align Centre",,,,
"Align Keyframes",,,,
"Align Left",,,,
"Align Middle",,,,
"Align Points",,,,
"Align Right",,,,
"Align Top",,,,
"Align keyframe values",,,,
"Alignment",,,,
"Alizarin Crimson",,,,
"All Caps",,,,
"All Inputs",,,,
"All Shapes",,,,
"All Shortcuts",,,,
"Allports",,,,
"Almond",,,,
